#{"t_start": 1775585549.7328336, "env_id": "None"}
r,l,t
13.0,10,24.251478
13.0,10,24.277562
13.0,10,24.312904
13.0,10,24.343583
13.0,10,24.371751
13.0,10,24.399556
13.0,10,24.435711
11.0,10,24.469131
10.0,10,24.499049
9.0,10,24.527625
13.0,10,24.563532
13.0,10,24.597332
13.0,10,24.624933
13.0,10,24.650863
13.0,10,24.685619
11.0,10,24.72189
11.0,10,24.752603
13.0,10,24.781452
13.0,10,24.846311
13.0,10,24.893302
9.0,10,24.927055
13.0,10,24.957912
13.0,10,25.000231
13.0,10,25.035645
13.0,10,25.068182
11.0,10,25.096138
13.0,10,25.131962
13.0,10,25.163994
13.0,10,25.195378
13.0,10,25.230854
13.0,10,25.262879
13.0,10,25.292203
11.0,10,25.322492
13.0,10,25.355527
13.0,10,25.385503
13.0,10,25.41496
11.0,10,25.445516
13.0,10,25.47558
13.0,10,25.505237
10.0,10,25.534804
13.0,10,25.565983
13.0,10,25.595807
13.0,10,25.628798
13.0,10,25.655043
11.0,10,25.686407
13.0,10,25.717133
11.0,10,25.755193
13.0,10,25.782092
13.0,10,25.813116
13.0,10,25.84444
13.0,10,25.88046
13.0,10,25.906366
13.0,10,25.93524
13.0,10,25.964564
13.0,10,26.005665
13.0,10,26.036664
11.0,10,26.067334
13.0,10,26.102094
11.0,10,26.146907
9.0,10,26.184464
13.0,10,26.216986
13.0,10,26.251416
13.0,10,26.289606
13.0,10,26.321809
13.0,10,26.349754
13.0,10,26.382166
13.0,10,26.416559
13.0,10,26.445212
10.0,10,26.472396
13.0,10,26.505056
11.0,10,26.553253
13.0,10,26.584266
6.0,10,26.616043
11.0,10,26.648678
13.0,10,26.684122
13.0,10,26.726574
11.0,10,26.75613
13.0,10,26.788977
13.0,10,26.828228
13.0,10,26.857099
13.0,10,26.886962
13.0,10,26.913672
13.0,10,26.94744
13.0,10,26.975791
13.0,10,27.002218
13.0,10,27.02883
11.0,10,27.061452
7.0,10,27.08499
11.0,10,27.113395
13.0,10,27.143809
13.0,10,27.176991
13.0,10,27.208891
13.0,10,27.233019
13.0,10,27.262334
13.0,10,27.296896
13.0,10,27.323021
13.0,10,27.34779
13.0,10,27.37325
13.0,10,27.405066
13.0,10,27.429961
13.0,10,27.454775
13.0,10,27.482927
13.0,10,27.514557
13.0,10,27.545205
13.0,10,27.570728
13.0,10,27.5966
9.0,10,27.627723
13.0,10,27.65515
13.0,10,27.681802
11.0,10,27.708203
11.0,10,27.735954
13.0,10,27.7623
11.0,10,27.785443
13.0,10,27.813541
13.0,10,27.844467
11.0,10,27.873167
9.0,10,27.898772
11.0,10,27.926398
13.0,10,27.958917
11.0,10,27.984447
13.0,10,28.01489
13.0,10,28.04253
13.0,10,28.085089
13.0,10,28.115244
13.0,10,28.142861
13.0,10,28.172929
13.0,10,28.20625
13.0,10,28.237242
13.0,10,28.264501
8.0,10,28.287581
13.0,10,28.324594
13.0,10,28.35549
11.0,10,28.387872
10.0,10,28.414904
10.0,10,28.44675
11.0,10,28.472476
13.0,10,28.499868
13.0,10,28.527639
13.0,10,28.556674
11.0,10,28.584338
8.0,10,28.609615
13.0,10,28.64183
11.0,10,28.681368
13.0,10,28.71184
13.0,10,28.739061
11.0,10,28.7715
13.0,10,28.80243
11.0,10,28.830858
13.0,10,28.855862
9.0,10,28.882487
13.0,10,28.916885
13.0,10,28.947264
13.0,10,28.975146
13.0,10,29.009207
11.0,10,29.039827
11.0,10,29.067612
13.0,10,29.095381
13.0,10,29.125599
13.0,10,29.157469
13.0,10,29.184511
13.0,10,29.212386
13.0,10,29.240979
11.0,10,29.270449
13.0,10,29.300746
13.0,10,29.328614
13.0,10,29.36108
13.0,10,29.398155
13.0,10,29.427511
10.0,10,29.45593
11.0,10,29.484807
10.0,10,29.520657
13.0,10,29.551959
13.0,10,29.577099
10.0,10,29.603395
13.0,10,29.635799
13.0,10,29.662791
11.0,10,29.689139
9.0,10,29.717148
11.0,10,29.751475
13.0,10,29.777673
11.0,10,29.80348
10.0,10,29.827871
13.0,10,29.861558
13.0,10,29.887003
13.0,10,29.910772
11.0,10,29.937838
13.0,10,29.975243
13.0,10,30.009161
9.0,10,30.036797
10.0,10,30.061792
13.0,10,30.09648
11.0,10,30.126924
13.0,10,30.153577
13.0,10,30.180446
11.0,10,30.216892
10.0,10,30.246267
13.0,10,30.273606
13.0,10,30.302899
13.0,10,30.333719
13.0,10,30.363751
13.0,10,30.388493
13.0,10,30.41837
